OBJECTID,NAME_2,NAME_1,Total,SUP_KM2,densite
1,Antwerpen,Vlaanderen,1764773,2867.386741,615.463890784588
2,Brabant Wallon,Wallonie,382866,1090.558714,351.073257299194
3,Bruxelles,Bruxelles,1119088,161.382278,6934.39213938968
4,Hainaut,Wallonie,1318229,3789.266144,347.885038924307
5,Liège,Wallonie,1149569,3946.109206,291.317077148321
6,Limburg,Vlaanderen,844621,2422.142369,348.708238958186
7,Luxembourg,Wallonie,271352,4439.724994,61.1191009278085
8,Namur,Wallonie,476835,3666.008617,130.069252371318
9,Oost-Vlaanderen,Vlaanderen,1469002,2989.080928,491.456081446049
10,Vlaams Brabant,Vlaanderen,1086446,2106.145808,515.845577202317
11,West-Vlaanderen,Vlaanderen,1238022,3245.508952,381.456966629867
